"Accession.New","MouseGeneName","Description","Sample1","Sample2","Sample3","Sample4","Sample5","Accession.Number.ori","Accession.Number"
"SERB_MOUSE","Psph","Phosphoserine phosphatase OS=Mus musculus OX=10090 GN=Psph PE=1 SV=1",2,0,0,2,3,"SERB_MOUSE","SERB_MOUSE"
"CSN6_MOUSE","Cops6","COP9 signalosome complex subunit 6 OS=Mus musculus OX=10090 GN=Cops6 PE=1 SV=1",2,0,0,0,0,"CSN6_MOUSE (+1)","CSN6_MOUSE"
"F8WHM5_MOUSE","Glg1","Golgi apparatus protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Glg1 PE=1 SV=1",0,0,0,2,2,"F8WHM5_MOUSE (+1)","F8WHM5_MOUSE"
"PP4C_MOUSE","Ppp4c","Serine/threonine-protein phosphatase 4 catalytic subunit OS=Mus musculus OX=10090 GN=Ppp4c PE=1 SV=2",2,0,0,0,0,"PP4C_MOUSE","PP4C_MOUSE"
"DENR_MOUSE","Denr","Density-regulated protein OS=Mus musculus OX=10090 GN=Denr PE=1 SV=1",3,2,0,2,2,"DENR_MOUSE","DENR_MOUSE"
"TWSG1_MOUSE","Twsg1","Twisted gastrulation protein homolog 1 OS=Mus musculus OX=10090 GN=Twsg1 PE=1 SV=1",0,2,0,2,3,"TWSG1_MOUSE","TWSG1_MOUSE"
"A0A0R4J117_MOUSE","Igsf8","Immunoglobulin superfamily member 8 OS=Mus musculus OX=10090 GN=Igsf8 PE=1 SV=1",2,0,0,2,2,"A0A0R4J117_MOUSE (+2)","A0A0R4J117_MOUSE"
"SKP1_MOUSE","Skp1","S-phase kinase-associated protein 1 OS=Mus musculus OX=10090 GN=Skp1 PE=1 SV=3",2,0,0,2,0,"SKP1_MOUSE","SKP1_MOUSE"
"Q4KL65_MOUSE","Psg26","Pregnancy-specific glycoprotein 26 OS=Mus musculus OX=10090 GN=Psg26 PE=2 SV=1",0,2,0,2,2,"Q4KL65_MOUSE","Q4KL65_MOUSE"
"ERF3A_MOUSE","Gspt1","Isoform 2 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Mus musculus OX=10090 GN=Gspt1",0,2,0,3,2,"sp|Q8R050-2|ERF3A_MOUSE (+1)","ERF3A_MOUSE"
"ECH1_MOUSE","Ech1","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus OX=10090 GN=Ech1 PE=1 SV=1",2,0,0,2,0,"ECH1_MOUSE","ECH1_MOUSE"
"D3YUV1_MOUSE","Nrbp1","Nuclear receptor-binding protein OS=Mus musculus OX=10090 GN=Nrbp1 PE=1 SV=1",2,2,0,0,0,"D3YUV1_MOUSE","D3YUV1_MOUSE"
"ADA19_MOUSE","Adam19","Disintegrin and metalloproteinase domain-containing protein 19 OS=Mus musculus OX=10090 GN=Adam19 PE=2 SV=2",3,0,0,0,3,"ADA19_MOUSE","ADA19_MOUSE"
"A0A1L1STE4_MOUSE","Ilf3","Interleukin enhancer-binding factor 3 OS=Mus musculus OX=10090 GN=Ilf3 PE=1 SV=1",2,0,0,0,0,"A0A1L1STE4_MOUSE (+4)","A0A1L1STE4_MOUSE"
"A0A0R4J0Q5_MOUSE","Lmnb2","Lamin-B2 OS=Mus musculus OX=10090 GN=Lmnb2 PE=1 SV=1",0,2,0,0,0,"A0A0R4J0Q5_MOUSE (+1)","A0A0R4J0Q5_MOUSE"
"PGTB2_MOUSE","Rabggtb","Geranylgeranyl transferase type-2 subunit beta OS=Mus musculus OX=10090 GN=Rabggtb PE=1 SV=2",2,3,0,4,0,"PGTB2_MOUSE (+1)","PGTB2_MOUSE"
"CD14_MOUSE","Cd14","Monocyte differentiation antigen CD14 OS=Mus musculus OX=10090 GN=Cd14 PE=1 SV=1",2,0,0,3,0,"CD14_MOUSE","CD14_MOUSE"
"PARVA_MOUSE","Parva","Alpha-parvin OS=Mus musculus OX=10090 GN=Parva PE=1 SV=1",0,0,0,2,2,"PARVA_MOUSE (+1)","PARVA_MOUSE"
"AP4A_MOUSE","Nudt2","Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] OS=Mus musculus OX=10090 GN=Nudt2 PE=1 SV=3",0,0,0,2,2,"AP4A_MOUSE","AP4A_MOUSE"
"DDX58_MOUSE","Ddx58","Probable ATP-dependent RNA helicase DDX58 OS=Mus musculus OX=10090 GN=Ddx58 PE=1 SV=2",2,0,0,2,0,"sp|Q6Q899|DDX58_MOUSE","DDX58_MOUSE"
"ANGP4_MOUSE","Angpt4","Angiopoietin-4 OS=Mus musculus OX=10090 GN=Angpt4 PE=1 SV=1",2,0,0,2,0,"ANGP4_MOUSE","ANGP4_MOUSE"
"PP1R7_MOUSE","Ppp1r7","Protein phosphatase 1 regulatory subunit 7 OS=Mus musculus OX=10090 GN=Ppp1r7 PE=1 SV=2",3,0,0,0,2,"PP1R7_MOUSE","PP1R7_MOUSE"
"A0A0J9YUS5_MOUSE","Eif4g1","Eukaryotic translation initiation factor 4 gamma 1 OS=Mus musculus OX=10090 GN=Eif4g1 PE=1 SV=1",0,0,0,2,2,"A0A0J9YUS5_MOUSE (+5)","A0A0J9YUS5_MOUSE"
"ECI1_MOUSE","Eci1","Enoyl-CoA delta isomerase 1, mitochondrial OS=Mus musculus OX=10090 GN=Eci1 PE=1 SV=2",0,0,0,0,2,"ECI1_MOUSE","ECI1_MOUSE"
"U520_MOUSE","Snrnp200","U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Mus musculus OX=10090 GN=Snrnp200 PE=1 SV=1",0,2,0,0,2,"U520_MOUSE","U520_MOUSE"
"MMP3_MOUSE","Mmp3","Stromelysin-1 OS=Mus musculus OX=10090 GN=Mmp3 PE=2 SV=2",0,0,0,4,0,"MMP3_MOUSE (+1)","MMP3_MOUSE"
"A0A0N4SVP8_MOUSE","Gm5580","Predicted pseudogene 5580 OS=Mus musculus OX=10090 GN=Gm5580 PE=3 SV=1",2,0,0,0,0,"A0A0N4SVP8_MOUSE","A0A0N4SVP8_MOUSE"
"A0A0A0MQ90_MOUSE","S100a13","Protein S100-A13 OS=Mus musculus OX=10090 GN=S100a13 PE=1 SV=1",2,2,0,2,2,"A0A0A0MQ90_MOUSE (+1)","A0A0A0MQ90_MOUSE"
"H2AV_MOUSE","H2afv","Histone H2A.V OS=Mus musculus OX=10090 GN=H2afv PE=1 SV=3",2,2,0,2,2,"H2AV_MOUSE (+1)","H2AV_MOUSE"
"Q9Z1A1_MOUSE","Tfg","TFG protein OS=Mus musculus OX=10090 GN=Tfg PE=1 SV=1",2,0,0,0,2,"Q9Z1A1_MOUSE","Q9Z1A1_MOUSE"
"GILT_MOUSE","Ifi30","Gamma-interferon-inducible lysosomal thiol reductase OS=Mus musculus OX=10090 GN=Ifi30 PE=1 SV=3",2,0,0,2,3,"GILT_MOUSE","GILT_MOUSE"
"RS8_MOUSE","Rps8","40S ribosomal protein S8 OS=Mus musculus OX=10090 GN=Rps8 PE=1 SV=2",2,3,0,2,0,"RS8_MOUSE","RS8_MOUSE"
"Q78ZM0_MOUSE","Snx3","Sorting nexin 3, isoform CRA_b OS=Mus musculus OX=10090 GN=Snx3 PE=1 SV=1",2,2,0,2,2,"Q78ZM0_MOUSE (+1)","Q78ZM0_MOUSE"
"Q80UK5_MOUSE","Serpinb9f","Serine (Or cysteine) peptidase inhibitor, clade B, member 9f OS=Mus musculus OX=10090 GN=Serpinb9f PE=2 SV=1",2,0,0,0,2,"Q80UK5_MOUSE","Q80UK5_MOUSE"
"PLIN3_MOUSE","Plin3","Perilipin-3 OS=Mus musculus OX=10090 GN=Plin3 PE=1 SV=1",0,2,0,2,0,"PLIN3_MOUSE","PLIN3_MOUSE"
"LSM2_MOUSE","Lsm2","U6 snRNA-associated Sm-like protein LSm2 OS=Mus musculus OX=10090 GN=Lsm2 PE=1 SV=1",0,2,0,0,2,"LSM2_MOUSE (+1)","LSM2_MOUSE"
"CSN3_MOUSE","Cops3","COP9 signalosome complex subunit 3 OS=Mus musculus OX=10090 GN=Cops3 PE=1 SV=3",2,2,0,0,0,"CSN3_MOUSE","CSN3_MOUSE"
"RL23A_MOUSE","Rpl23a","60S ribosomal protein L23a OS=Mus musculus OX=10090 GN=Rpl23a PE=1 SV=1",0,2,0,0,3,"RL23A_MOUSE","RL23A_MOUSE"
"CHM4B_MOUSE","Chmp4b","Charged multivesicular body protein 4b OS=Mus musculus OX=10090 GN=Chmp4b PE=1 SV=2",3,2,0,3,0,"CHM4B_MOUSE","CHM4B_MOUSE"
"PHP14_MOUSE","Phpt1","14 kDa phosphohistidine phosphatase OS=Mus musculus OX=10090 GN=Phpt1 PE=1 SV=1",2,2,0,2,2,"PHP14_MOUSE","PHP14_MOUSE"
"CCL9_MOUSE","Ccl9","C-C motif chemokine 9 OS=Mus musculus OX=10090 GN=Ccl9 PE=1 SV=1",0,0,0,2,0,"CCL9_MOUSE","CCL9_MOUSE"
"FIS1_MOUSE","Fis1","Mitochondrial fission 1 protein OS=Mus musculus OX=10090 GN=Fis1 PE=1 SV=1",2,2,0,4,2,"FIS1_MOUSE (+1)","FIS1_MOUSE"
"ATPA_MOUSE","Atp5f1a","ATP synthase subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1a PE=1 SV=1",3,3,0,0,2,"ATPA_MOUSE (+1)","ATPA_MOUSE"
"3HIDH_MOUSE","Hibadh","3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Hibadh PE=1 SV=1",0,2,0,2,2,"3HIDH_MOUSE","3HIDH_MOUSE"
"TOIP2_MOUSE","Tor1aip2","Torsin-1A-interacting protein 2 OS=Mus musculus OX=10090 GN=Tor1aip2 PE=1 SV=1",2,0,0,2,0,"TOIP2_MOUSE","TOIP2_MOUSE"
"E9Q456_MOUSE","Tpm1","Tropomyosin alpha-1 chain OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1",2,0,0,2,2,"E9Q456_MOUSE","E9Q456_MOUSE"
"WISP1_MOUSE","Wisp1","WNT1-inducible-signaling pathway protein 1 OS=Mus musculus OX=10090 GN=Wisp1 PE=2 SV=1",3,0,0,2,2,"WISP1_MOUSE","WISP1_MOUSE"
"Q6PE80_MOUSE","Axl","Axl protein OS=Mus musculus OX=10090 GN=Axl PE=1 SV=1",0,0,0,2,2,"Q6PE80_MOUSE (+1)","Q6PE80_MOUSE"
"A2AE27_MOUSE","Ampd2","AMP deaminase OS=Mus musculus OX=10090 GN=Ampd2 PE=1 SV=1",2,0,0,0,0,"A2AE27_MOUSE (+1)","A2AE27_MOUSE"
"UBC12_MOUSE","Ube2m","NEDD8-conjugating enzyme Ubc12 OS=Mus musculus OX=10090 GN=Ube2m PE=1 SV=1",0,0,0,3,3,"UBC12_MOUSE","UBC12_MOUSE"
"FSTL3_MOUSE","Fstl3","Follistatin-related protein 3 OS=Mus musculus OX=10090 GN=Fstl3 PE=1 SV=1",2,0,0,3,0,"FSTL3_MOUSE","FSTL3_MOUSE"
"UBFD1_MOUSE","Ubfd1","Ubiquitin domain-containing protein UBFD1 OS=Mus musculus OX=10090 GN=Ubfd1 PE=1 SV=2",0,0,0,0,2,"UBFD1_MOUSE","UBFD1_MOUSE"
"AGAL_MOUSE","Gla","Alpha-galactosidase A OS=Mus musculus OX=10090 GN=Gla PE=1 SV=1",0,0,0,3,2,"AGAL_MOUSE (+1)","AGAL_MOUSE"
"PDCD5_MOUSE","Pdcd5","Programmed cell death protein 5 OS=Mus musculus OX=10090 GN=Pdcd5 PE=1 SV=3",0,0,0,0,3,"PDCD5_MOUSE","PDCD5_MOUSE"
"ISG20_MOUSE","Isg20","Isoform 2 of Interferon-stimulated gene 20 kDa protein OS=Mus musculus OX=10090 GN=Isg20",2,0,0,0,0,"sp|Q9JL16-2|ISG20_MOUSE","ISG20_MOUSE"
"GAL3A_MOUSE","D10Jhu81e","ES1 protein homolog, mitochondrial OS=Mus musculus OX=10090 GN=D10Jhu81e PE=1 SV=1",2,0,0,2,0,"ES1_MOUSE","ES1_MOUSE"
"LYPA2_MOUSE","Lypla2","Acyl-protein thioesterase 2 OS=Mus musculus OX=10090 GN=Lypla2 PE=1 SV=1",0,0,0,3,0,"LYPA2_MOUSE","LYPA2_MOUSE"
"GSH0_MOUSE","Gclm","Glutamate--cysteine ligase regulatory subunit OS=Mus musculus OX=10090 GN=Gclm PE=1 SV=1",3,0,2,0,3,"GSH0_MOUSE (+1)","GSH0_MOUSE"
"E9Q509_MOUSE","Pklr","Pyruvate kinase OS=Mus musculus OX=10090 GN=Pklr PE=1 SV=1",0,3,0,0,0,"E9Q509_MOUSE (+2)","E9Q509_MOUSE"
"Q7TPQ8_MOUSE","Gcnt2","Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme OS=Mus musculus OX=10090 GN=Gcnt2 PE=1 SV=1",2,0,0,4,3,"Q7TPQ8_MOUSE (+1)","Q7TPQ8_MOUSE"
"PSMD4_MOUSE","Psmd4","Isoform Rpn10C of 26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus OX=10090 GN=Psmd4",3,3,0,2,0,"sp|O35226-3|PSMD4_MOUSE","PSMD4_MOUSE"
"IBP3_MOUSE","Igfbp3","Insulin-like growth factor-binding protein 3 OS=Mus musculus OX=10090 GN=Igfbp3 PE=2 SV=2",3,0,0,3,2,"IBP3_MOUSE","IBP3_MOUSE"
"ANFY1_MOUSE","Ankfy1","Isoform 2 of Rabankyrin-5 OS=Mus musculus OX=10090 GN=Ankfy1",2,0,0,2,0,"sp|Q810B6-2|ANFY1_MOUSE (+1)","ANFY1_MOUSE"
"DDX6_MOUSE","Ddx6","Probable ATP-dependent RNA helicase DDX6 OS=Mus musculus OX=10090 GN=Ddx6 PE=1 SV=1",2,0,0,0,2,"DDX6_MOUSE","DDX6_MOUSE"
"TWF2_MOUSE","Twf2","Isoform 2 of Twinfilin-2 OS=Mus musculus OX=10090 GN=Twf2",5,0,2,0,0,"sp|Q9Z0P5-2|TWF2_MOUSE (+1)","TWF2_MOUSE"
"GGT1_MOUSE","Ggt1","Glutathione hydrolase 1 proenzyme OS=Mus musculus OX=10090 GN=Ggt1 PE=1 SV=1",0,0,0,0,2,"GGT1_MOUSE","GGT1_MOUSE"
"HNRPU_MOUSE","Hnrnpu","Isoform 2 of Heterogeneous nuclear ribonucleoprotein U OS=Mus musculus OX=10090 GN=Hnrnpu",0,3,0,0,0,"sp|Q8VEK3-2|HNRPU_MOUSE (+1)","HNRPU_MOUSE"
"E9PVA6_MOUSE","Git2","ARF GTPase-activating protein GIT2 OS=Mus musculus OX=10090 GN=Git2 PE=1 SV=1",3,0,0,2,0,"E9PVA6_MOUSE","E9PVA6_MOUSE"
"PLAK_MOUSE","Jup","Junction plakoglobin OS=Mus musculus OX=10090 GN=Jup PE=1 SV=3",0,0,2,0,0,"PLAK_MOUSE","PLAK_MOUSE"
"LTOR3_MOUSE","Lamtor3","Ragulator complex protein LAMTOR3 OS=Mus musculus OX=10090 GN=Lamtor3 PE=1 SV=1",2,0,0,2,2,"LTOR3_MOUSE","LTOR3_MOUSE"
"CASP3_MOUSE","Casp3","Caspase-3 OS=Mus musculus OX=10090 GN=Casp3 PE=1 SV=1",0,0,0,0,2,"CASP3_MOUSE","CASP3_MOUSE"
"PR5A1_MOUSE","Prl5a1","Prolactin-5A1 OS=Mus musculus OX=10090 GN=Prl5a1 PE=2 SV=1",0,0,0,2,2,"PR5A1_MOUSE","PR5A1_MOUSE"
"MP2K1_MOUSE","Map2k1","Dual specificity mitogen-activated protein kinase kinase 1 OS=Mus musculus OX=10090 GN=Map2k1 PE=1 SV=2",0,2,0,0,2,"MP2K1_MOUSE","MP2K1_MOUSE"
"H15_MOUSE","Hist1h1b","Histone H1.5 OS=Mus musculus OX=10090 GN=Hist1h1b PE=1 SV=2",3,2,0,0,2,"H15_MOUSE","H15_MOUSE"
"CPSF6_MOUSE","Cpsf6","Cleavage and polyadenylation specificity factor subunit 6 OS=Mus musculus OX=10090 GN=Cpsf6 PE=1 SV=1",2,0,0,0,2,"CPSF6_MOUSE (+2)","CPSF6_MOUSE"
"CBX1_MOUSE","Cbx1","Chromobox protein homolog 1 OS=Mus musculus OX=10090 GN=Cbx1 PE=1 SV=1",3,0,0,3,0,"CBX1_MOUSE","CBX1_MOUSE"
"RS23_MOUSE","Rps23","40S ribosomal protein S23 OS=Mus musculus OX=10090 GN=Rps23 PE=1 SV=3",0,0,0,0,3,"RS23_MOUSE","RS23_MOUSE"
"FBLN1_MOUSE","Fbln1","Isoform C of Fibulin-1 OS=Mus musculus OX=10090 GN=Fbln1",0,3,0,2,0,"sp|Q08879-2|FBLN1_MOUSE","FBLN1_MOUSE"
"NAGAB_MOUSE","Naga","Alpha-N-acetylgalactosaminidase OS=Mus musculus OX=10090 GN=Naga PE=1 SV=2",0,0,2,0,2,"NAGAB_MOUSE","NAGAB_MOUSE"
"SRSF3_MOUSE","Srsf3","Isoform Short of Serine/arginine-rich splicing factor 3 OS=Mus musculus OX=10090 GN=Srsf3",0,0,0,0,2,"sp|P84104-2|SRSF3_MOUSE (+1)","SRSF3_MOUSE"
"MOB1B_MOUSE","Mob1b","MOB kinase activator 1B OS=Mus musculus OX=10090 GN=Mob1b PE=1 SV=3",2,0,0,3,2,"MOB1B_MOUSE (+3)","MOB1B_MOUSE"
"CNPY4_MOUSE","Cnpy4","Protein canopy homolog 4 OS=Mus musculus OX=10090 GN=Cnpy4 PE=1 SV=1",0,0,0,0,3,"CNPY4_MOUSE (+1)","CNPY4_MOUSE"
"A0A0R4J085_MOUSE","Uap1","UDP-N-acetylhexosamine pyrophosphorylase OS=Mus musculus OX=10090 GN=Uap1 PE=1 SV=1",0,0,0,0,2,"A0A0R4J085_MOUSE (+5)","A0A0R4J085_MOUSE"
"D3Z6W7_MOUSE","Gxylt1","Glucoside xylosyltransferase 1 OS=Mus musculus OX=10090 GN=Gxylt1 PE=1 SV=1",2,0,0,2,0,"D3Z6W7_MOUSE (+1)","D3Z6W7_MOUSE"
"B1AY85_MOUSE","Plxdc2","Plexin domain-containing protein 2 OS=Mus musculus OX=10090 GN=Plxdc2 PE=1 SV=1",2,0,0,2,2,"B1AY85_MOUSE (+1)","B1AY85_MOUSE"
"CSN2_MOUSE","Cops2","Isoform 2 of COP9 signalosome complex subunit 2 OS=Mus musculus OX=10090 GN=Cops2",0,2,0,2,3,"sp|P61202-2|CSN2_MOUSE (+1)","CSN2_MOUSE"
"RPAB3_MOUSE","Polr2h","DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Mus musculus OX=10090 GN=Polr2h PE=1 SV=3",0,0,2,0,0,"RPAB3_MOUSE","RPAB3_MOUSE"
"F6QL70_MOUSE","Gm17669","60S ribosomal protein L29 OS=Mus musculus OX=10090 GN=Gm17669 PE=3 SV=1",0,0,0,2,0,"F6QL70_MOUSE (+1)","F6QL70_MOUSE"
"PROP_MOUSE","Cfp","Properdin OS=Mus musculus OX=10090 GN=Cfp PE=2 SV=2",2,0,0,0,0,"PROP_MOUSE","PROP_MOUSE"
"SRP14_MOUSE","Srp14","Signal recognition particle 14 kDa protein OS=Mus musculus OX=10090 GN=Srp14 PE=1 SV=1",2,0,0,0,0,"SRP14_MOUSE","SRP14_MOUSE"
"DNJA1_MOUSE","Dnaja1","DnaJ homolog subfamily A member 1 OS=Mus musculus OX=10090 GN=Dnaja1 PE=1 SV=1",0,0,0,0,3,"DNJA1_MOUSE","DNJA1_MOUSE"
"PFD3_MOUSE","Vbp1","Prefoldin subunit 3 OS=Mus musculus OX=10090 GN=Vbp1 PE=1 SV=2",0,2,0,0,4,"PFD3_MOUSE","PFD3_MOUSE"
"FIBB_MOUSE","Fgb","Fibrinogen beta chain OS=Mus musculus OX=10090 GN=Fgb PE=1 SV=1",0,0,0,0,3,"FIBB_MOUSE","FIBB_MOUSE"
"MK14_MOUSE","Mapk14","Isoform 3 of Mitogen-activated protein kinase 14 OS=Mus musculus OX=10090 GN=Mapk14",2,2,0,0,2,"sp|P47811-3|MK14_MOUSE","MK14_MOUSE"
"EFNA1_MOUSE","Efna1","Ephrin-A1 OS=Mus musculus OX=10090 GN=Efna1 PE=1 SV=1",0,2,0,0,0,"EFNA1_MOUSE","EFNA1_MOUSE"
"LXN_MOUSE","Lxn","Latexin OS=Mus musculus OX=10090 GN=Lxn PE=1 SV=2",3,0,2,0,3,"LXN_MOUSE","LXN_MOUSE"
"ARHG6_MOUSE","Arhgef6","Rho guanine nucleotide exchange factor 6 OS=Mus musculus OX=10090 GN=Arhgef6 PE=1 SV=1",3,0,0,3,0,"ARHG6_MOUSE (+1)","ARHG6_MOUSE"
"SF3B5_MOUSE","Sf3b5","Splicing factor 3B subunit 5 OS=Mus musculus OX=10090 GN=Sf3b5 PE=1 SV=1",0,0,0,2,2,"SF3B5_MOUSE","SF3B5_MOUSE"
"PAMR1_MOUSE","Pamr1","Inactive serine protease PAMR1 OS=Mus musculus OX=10090 GN=Pamr1 PE=2 SV=3",3,0,0,2,2,"PAMR1_MOUSE","PAMR1_MOUSE"
"NMT1_MOUSE","Nmt1","Glycylpeptide N-tetradecanoyltransferase 1 OS=Mus musculus OX=10090 GN=Nmt1 PE=1 SV=1",0,0,0,2,2,"NMT1_MOUSE","NMT1_MOUSE"
"MMP8_MOUSE","Mmp8","Neutrophil collagenase OS=Mus musculus OX=10090 GN=Mmp8 PE=2 SV=2",0,0,2,0,0,"MMP8_MOUSE","MMP8_MOUSE"
"APOM_MOUSE","Apom","Apolipoprotein M OS=Mus musculus OX=10090 GN=Apom PE=1 SV=1",0,0,0,0,2,"APOM_MOUSE","APOM_MOUSE"
"MUC18_MOUSE","Mcam","Isoform 2 of Cell surface glycoprotein MUC18 OS=Mus musculus OX=10090 GN=Mcam",3,0,0,0,2,"sp|Q8R2Y2-2|MUC18_MOUSE (+1)","MUC18_MOUSE"
"CRKL_MOUSE","Crkl","Crk-like protein OS=Mus musculus OX=10090 GN=Crkl PE=1 SV=2",0,0,0,0,2,"CRKL_MOUSE","CRKL_MOUSE"
"CEA15_MOUSE","Ceacam15","Carcinoembryonic antigen-related cell adhesion molecule 15 OS=Mus musculus OX=10090 GN=Ceacam15 PE=1 SV=1",2,0,0,2,0,"CEA15_MOUSE","CEA15_MOUSE"
"UBQL2_MOUSE","Ubqln2","Ubiquilin-2 OS=Mus musculus OX=10090 GN=Ubqln2 PE=1 SV=2",3,0,0,0,3,"UBQL2_MOUSE","UBQL2_MOUSE"
"SC22B_MOUSE","Sec22b","Vesicle-trafficking protein SEC22b OS=Mus musculus OX=10090 GN=Sec22b PE=1 SV=3",0,0,0,3,2,"SC22B_MOUSE","SC22B_MOUSE"
"A0A286YDI8_MOUSE","Sec24c","Sec24-related gene family, member C (S. cerevisiae) OS=Mus musculus OX=10090 GN=Sec24c PE=1 SV=1",0,0,0,3,2,"A0A286YDI8_MOUSE (+1)","A0A286YDI8_MOUSE"
"A0A140LIH4_MOUSE","Adgrg6","Adhesion G-protein-coupled receptor G6 OS=Mus musculus OX=10090 GN=Adgrg6 PE=1 SV=1",3,0,0,0,0,"A0A140LIH4_MOUSE (+1)","A0A140LIH4_MOUSE"
"HMGN5_MOUSE","Hmgn5","High mobility group nucleosome-binding domain-containing protein 5 OS=Mus musculus OX=10090 GN=Hmgn5 PE=1 SV=2",0,2,0,2,0,"HMGN5_MOUSE","HMGN5_MOUSE"
"PTN23_MOUSE","Ptpn23","Isoform 2 of Tyrosine-protein phosphatase non-receptor type 23 OS=Mus musculus OX=10090 GN=Ptpn23",0,0,0,2,0,"sp|Q6PB44-2|PTN23_MOUSE (+1)","PTN23_MOUSE"
"Q3UW64_MOUSE","Gne","Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase OS=Mus musculus OX=10090 GN=Gne PE=1 SV=1",2,0,0,0,0,"Q3UW64_MOUSE","Q3UW64_MOUSE"
"A0A1Y7VM65_MOUSE","Glrx","Glutaredoxin-1 OS=Mus musculus OX=10090 GN=Glrx PE=1 SV=1",0,2,0,0,2,"A0A1Y7VM65_MOUSE (+1)","A0A1Y7VM65_MOUSE"
"Q3TMX0_MOUSE","Sdcbp","MCG4375, isoform CRA_b OS=Mus musculus OX=10090 GN=Sdcbp PE=1 SV=1",0,2,0,0,0,"Q3TMX0_MOUSE (+1)","Q3TMX0_MOUSE"
"VATG1_MOUSE","Atp6v1g1","V-type proton ATPase subunit G 1 OS=Mus musculus OX=10090 GN=Atp6v1g1 PE=1 SV=3",0,2,0,0,0,"VATG1_MOUSE","VATG1_MOUSE"
"SRP09_MOUSE","Srp9","Signal recognition particle 9 kDa protein OS=Mus musculus OX=10090 GN=Srp9 PE=1 SV=2",0,3,0,0,0,"SRP09_MOUSE","SRP09_MOUSE"
"ASC_MOUSE","Pycard","Apoptosis-associated speck-like protein containing a CARD OS=Mus musculus OX=10090 GN=Pycard PE=1 SV=1",2,0,2,2,2,"ASC_MOUSE","ASC_MOUSE"
"Q8R2K3_MOUSE","Ssbp1","Single-stranded DNA binding protein 1 OS=Mus musculus OX=10090 GN=Ssbp1 PE=1 SV=1",2,2,2,0,2,"Q8R2K3_MOUSE","Q8R2K3_MOUSE"
"SYFB_MOUSE","Farsb","Phenylalanine--tRNA ligase beta subunit OS=Mus musculus OX=10090 GN=Farsb PE=1 SV=2",0,0,0,2,2,"SYFB_MOUSE","SYFB_MOUSE"
"Q8C266_MOUSE","Rab5c","Ras-related protein Rab-5C OS=Mus musculus OX=10090 GN=Rab5c PE=1 SV=1",2,0,0,2,0,"Q8C266_MOUSE (+1)","Q8C266_MOUSE"
"RL13_MOUSE","Rpl13","60S ribosomal protein L13 OS=Mus musculus OX=10090 GN=Rpl13 PE=1 SV=3",0,2,0,0,2,"RL13_MOUSE","RL13_MOUSE"
"GRHPR_MOUSE","Grhpr","Glyoxylate reductase/hydroxypyruvate reductase OS=Mus musculus OX=10090 GN=Grhpr PE=1 SV=1",0,0,0,0,2,"GRHPR_MOUSE","GRHPR_MOUSE"
"UFM1_MOUSE","Ufm1","Ubiquitin-fold modifier 1 OS=Mus musculus OX=10090 GN=Ufm1 PE=1 SV=1",3,0,0,0,3,"UFM1_MOUSE","UFM1_MOUSE"
"AP2S1_MOUSE","Ap2s1","AP-2 complex subunit sigma OS=Mus musculus OX=10090 GN=Ap2s1 PE=1 SV=1",0,0,0,2,0,"AP2S1_MOUSE","AP2S1_MOUSE"
"PP2BA_MOUSE","Ppp3ca","Isoform 2 of Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Mus musculus OX=10090 GN=Ppp3ca",0,0,0,2,0,"sp|P63328-2|PP2BA_MOUSE (+1)","PP2BA_MOUSE"
"GNPI2_MOUSE","Gnpda2","Glucosamine-6-phosphate isomerase 2 OS=Mus musculus OX=10090 GN=Gnpda2 PE=1 SV=1",2,0,0,0,2,"sp|Q9CRC9|GNPI2_MOUSE","GNPI2_MOUSE"
"DDAH2_MOUSE","Ddah2","N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Mus musculus OX=10090 GN=Ddah2 PE=1 SV=1",3,0,0,2,2,"DDAH2_MOUSE","DDAH2_MOUSE"
"EIF3F_MOUSE","Eif3f","Eukaryotic translation initiation factor 3 subunit F OS=Mus musculus OX=10090 GN=Eif3f PE=1 SV=2",3,2,0,0,3,"EIF3F_MOUSE","EIF3F_MOUSE"
"VTDB_MOUSE","Gc","Vitamin D-binding protein OS=Mus musculus OX=10090 GN=Gc PE=1 SV=2",2,0,0,2,2,"VTDB_MOUSE","VTDB_MOUSE"
"PROF2_MOUSE","Pfn2","Isoform 3 of Profilin-2 OS=Mus musculus OX=10090 GN=Pfn2",2,0,0,0,2,"sp|Q9JJV2-3|PROF2_MOUSE (+1)","PROF2_MOUSE"
