"MouseGeneName","Accession.New.x","Description.x","Sample1.x","Sample2.x","Sample3.x","Sample4.x","Sample5.x","Accession.Number.ori.x","Accession.Number.x","ProteinID.x","Accession.New.y","Description.y","Sample1.y","Sample2.y","Sample3.y","Sample4.y","Sample5.y","Accession.Number.ori.y","Accession.Number.y","ProteinID.y","HumanGeneName"
"Rsu1","Q9D031_MOUSE","Ras suppressor protein 1 OS=Mus musculus OX=10090 GN=Rsu1 PE=1 SV=1",8,5,4,10,10,"Q9D031_MOUSE (+1)","Q9D031_MOUSE","Q9D031","Q9D031_MOUSE","Ras suppressor protein 1 OS=Mus musculus OX=10090 GN=Rsu1 PE=1 SV=1",8,5,4,10,10,"Q9D031_MOUSE (+1)","Q9D031_MOUSE","Q9D031","RSU1"
"S100a1","Q91V77_MOUSE","Protein S100 OS=Mus musculus OX=10090 GN=S100a1 PE=1 SV=1",3,3,2,3,4,"Q91V77_MOUSE","Q91V77_MOUSE","Q91V77","Q91V77_MOUSE","Protein S100 OS=Mus musculus OX=10090 GN=S100a1 PE=1 SV=1",3,3,2,3,4,"Q91V77_MOUSE","Q91V77_MOUSE","Q91V77","S100A1"
"S100a10","S10AA_MOUSE","Protein S100-A10 OS=Mus musculus OX=10090 GN=S100a10 PE=1 SV=2",2,2,0,2,2,"S10AA_MOUSE","S10AA_MOUSE","P08207","S10AA_MOUSE","Protein S100-A10 OS=Mus musculus OX=10090 GN=S100a10 PE=1 SV=2",2,2,0,2,2,"S10AA_MOUSE","S10AA_MOUSE","P08207","S100A10"
"S100a11","S10AB_MOUSE","Protein S100-A11 OS=Mus musculus OX=10090 GN=S100a11 PE=1 SV=1",4,2,3,0,3,"S10AB_MOUSE","S10AB_MOUSE","P50543","S10AB_MOUSE","Protein S100-A11 OS=Mus musculus OX=10090 GN=S100a11 PE=1 SV=1",4,2,3,0,3,"S10AB_MOUSE","S10AB_MOUSE","P50543","S100A11"
"S100a13","A0A0A0MQ90_MOUSE","Protein S100-A13 OS=Mus musculus OX=10090 GN=S100a13 PE=1 SV=1",2,2,0,2,2,"A0A0A0MQ90_MOUSE (+1)","A0A0A0MQ90_MOUSE","A0A0A0MQ90","A0A0A0MQ90_MOUSE","Protein S100-A13 OS=Mus musculus OX=10090 GN=S100a13 PE=1 SV=1",2,2,0,2,2,"A0A0A0MQ90_MOUSE (+1)","A0A0A0MQ90_MOUSE","A0A0A0MQ90","S100A13"
"S100a4","A0A0G2JGD2_MOUSE","Protein S100-A4 (Fragment) OS=Mus musculus OX=10090 GN=S100a4 PE=1 SV=1",2,2,2,3,2,"A0A0G2JGD2_MOUSE (+1)","A0A0G2JGD2_MOUSE","A0A0G2JGD2","A0A0G2JGD2_MOUSE","Protein S100-A4 (Fragment) OS=Mus musculus OX=10090 GN=S100a4 PE=1 SV=1",2,2,2,3,2,"A0A0G2JGD2_MOUSE (+1)","A0A0G2JGD2_MOUSE","A0A0G2JGD2","S100A4"
"S100a9","S10A9_MOUSE","Protein S100-A9 OS=Mus musculus OX=10090 GN=S100a9 PE=1 SV=3",5,3,4,5,4,"S10A9_MOUSE","S10A9_MOUSE","P31725","S10A9_MOUSE","Protein S100-A9 OS=Mus musculus OX=10090 GN=S100a9 PE=1 SV=3",5,3,4,5,4,"S10A9_MOUSE","S10A9_MOUSE","P31725","S100A9"
"Sae1","SAE1_MOUSE","SUMO-activating enzyme subunit 1 OS=Mus musculus OX=10090 GN=Sae1 PE=1 SV=1",4,2,2,4,4,"sp|Q9R1T2|SAE1_MOUSE","SAE1_MOUSE","Q9R1T2","SAE1_MOUSE","SUMO-activating enzyme subunit 1 OS=Mus musculus OX=10090 GN=Sae1 PE=1 SV=1",4,2,2,4,4,"sp|Q9R1T2|SAE1_MOUSE","SAE1_MOUSE","Q9R1T2","SAE1"
"Samhd1","SAMH1_MOUSE","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Mus musculus OX=10090 GN=Samhd1 PE=1 SV=1",28,26,22,28,27,"F8WJE0_MOUSE (+1)","F8WJE0_MOUSE","Q60710","SAMH1_MOUSE","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Mus musculus OX=10090 GN=Samhd1 PE=1 SV=1",28,26,22,28,27,"F8WJE0_MOUSE (+1)","F8WJE0_MOUSE","Q60710","SAMHD1"
"Sars","Q8C483_MOUSE","Serine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Sars PE=1 SV=1",8,4,0,7,5,"Q8C483_MOUSE (+1)","Q8C483_MOUSE","Q8C483","Q8C483_MOUSE","Serine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Sars PE=1 SV=1",8,4,0,7,5,"Q8C483_MOUSE (+1)","Q8C483_MOUSE","Q8C483","SARS1"
"Sbds","SBDS_MOUSE","Ribosome maturation protein SBDS OS=Mus musculus OX=10090 GN=Sbds PE=1 SV=4",6,3,2,6,3,"SBDS_MOUSE","SBDS_MOUSE","P70122","SBDS_MOUSE","Ribosome maturation protein SBDS OS=Mus musculus OX=10090 GN=Sbds PE=1 SV=4",6,3,2,6,3,"SBDS_MOUSE","SBDS_MOUSE","P70122","SBDS"
"Sbsn","E9QPB2_MOUSE","Suprabasin OS=Mus musculus OX=10090 GN=Sbsn PE=1 SV=1",10,10,7,13,14,"E9QPB2_MOUSE","E9QPB2_MOUSE","E9QPB2","E9QPB2_MOUSE","Suprabasin OS=Mus musculus OX=10090 GN=Sbsn PE=1 SV=1",10,10,7,13,14,"E9QPB2_MOUSE","E9QPB2_MOUSE","E9QPB2","SBSN"
"Scp2","NLTP_MOUSE","Non-specific lipid-transfer protein OS=Mus musculus OX=10090 GN=Scp2 PE=1 SV=3",3,4,2,3,3,"sp|P32020|NLTP_MOUSE","NLTP_MOUSE","P32020","NLTP_MOUSE","Non-specific lipid-transfer protein OS=Mus musculus OX=10090 GN=Scp2 PE=1 SV=3",3,4,2,3,3,"sp|P32020|NLTP_MOUSE","NLTP_MOUSE","P32020","SCP2"
"Scpep1","RISC_MOUSE","Retinoid-inducible serine carboxypeptidase OS=Mus musculus OX=10090 GN=Scpep1 PE=1 SV=2",5,4,0,6,4,"RISC_MOUSE","RISC_MOUSE","Q920A5","RISC_MOUSE","Retinoid-inducible serine carboxypeptidase OS=Mus musculus OX=10090 GN=Scpep1 PE=1 SV=2",5,4,0,6,4,"RISC_MOUSE","RISC_MOUSE","Q920A5","SCPEP1"
"Sct","Q80ZS9_MOUSE","Sct protein OS=Mus musculus OX=10090 GN=Sct PE=2 SV=1",3,4,3,4,3,"Q80ZS9_MOUSE (+1)","Q80ZS9_MOUSE","Q80ZS9","Q80ZS9_MOUSE","Sct protein OS=Mus musculus OX=10090 GN=Sct PE=2 SV=1",3,4,3,4,3,"Q80ZS9_MOUSE (+1)","Q80ZS9_MOUSE","Q80ZS9","SCT"
"Sdf2l1","SDF2L_MOUSE","Stromal cell-derived factor 2-like protein 1 OS=Mus musculus OX=10090 GN=Sdf2l1 PE=1 SV=2",6,4,3,5,5,"SDF2L_MOUSE","SDF2L_MOUSE","Q9ESP1","SDF2L_MOUSE","Stromal cell-derived factor 2-like protein 1 OS=Mus musculus OX=10090 GN=Sdf2l1 PE=1 SV=2",6,4,3,5,5,"SDF2L_MOUSE","SDF2L_MOUSE","Q9ESP1","SDF2L1"
"Sec23a","E9Q1S3_MOUSE","Protein transport protein Sec23A OS=Mus musculus OX=10090 GN=Sec23a PE=1 SV=1",10,8,3,7,9,"E9Q1S3_MOUSE (+1)","E9Q1S3_MOUSE","E9Q1S3","E9Q1S3_MOUSE","Protein transport protein Sec23A OS=Mus musculus OX=10090 GN=Sec23a PE=1 SV=1",10,8,3,7,9,"E9Q1S3_MOUSE (+1)","E9Q1S3_MOUSE","E9Q1S3","SEC23A"
"Sec31a","SC31A_MOUSE","Isoform 2 of Protein transport protein Sec31A OS=Mus musculus OX=10090 GN=Sec31a",7,4,0,5,6,"sp|Q3UPL0-2|SC31A_MOUSE (+1)","SC31A_MOUSE","Q3UPL0","SC31A_MOUSE","Isoform 2 of Protein transport protein Sec31A OS=Mus musculus OX=10090 GN=Sec31a",7,4,0,5,6,"sp|Q3UPL0-2|SC31A_MOUSE (+1)","SC31A_MOUSE","Q3UPL0","SEC31A"
"Selenbp1","SBP1_MOUSE","Methanethiol oxidase OS=Mus musculus OX=10090 GN=Selenbp1 PE=1 SV=2",12,7,9,10,9,"SBP1_MOUSE","SBP1_MOUSE","P17563","SBP1_MOUSE","Methanethiol oxidase OS=Mus musculus OX=10090 GN=Selenbp1 PE=1 SV=2",12,7,9,10,9,"SBP1_MOUSE","SBP1_MOUSE","P17563","SELENBP1"
"Sema3e","SEM3E_MOUSE","Semaphorin-3E OS=Mus musculus OX=10090 GN=Sema3e PE=1 SV=3",7,2,0,8,7,"SEM3E_MOUSE","SEM3E_MOUSE","P70275","SEM3E_MOUSE","Semaphorin-3E OS=Mus musculus OX=10090 GN=Sema3e PE=1 SV=3",7,2,0,8,7,"SEM3E_MOUSE","SEM3E_MOUSE","P70275","SEMA3E"
"Sema3f","SEM3F_MOUSE","Isoform A of Semaphorin-3F OS=Mus musculus OX=10090 GN=Sema3f",5,2,3,2,4,"sp|O88632-2|SEM3F_MOUSE (+1)","SEM3F_MOUSE","O88632","SEM3F_MOUSE","Isoform A of Semaphorin-3F OS=Mus musculus OX=10090 GN=Sema3f",5,2,3,2,4,"sp|O88632-2|SEM3F_MOUSE (+1)","SEM3F_MOUSE","O88632","SEMA3F"
"Sema7a","SEM7A_MOUSE","Semaphorin-7A OS=Mus musculus OX=10090 GN=Sema7a PE=1 SV=1",7,8,2,7,5,"SEM7A_MOUSE","SEM7A_MOUSE","Q9QUR8","SEM7A_MOUSE","Semaphorin-7A OS=Mus musculus OX=10090 GN=Sema7a PE=1 SV=1",7,8,2,7,5,"SEM7A_MOUSE","SEM7A_MOUSE","Q9QUR8","SEMA7A"
"Septin11","A0A0J9YTY0_MOUSE","Septin-11 OS=Mus musculus OX=10090 GN=Sept11 PE=1 SV=1",9,9,5,10,9,"A0A0J9YTY0_MOUSE (+4)","A0A0J9YTY0_MOUSE","A0A0J9YTY0","A0A0J9YTY0_MOUSE","Septin-11 OS=Mus musculus OX=10090 GN=Sept11 PE=1 SV=1",9,9,5,10,9,"A0A0J9YTY0_MOUSE (+4)","A0A0J9YTY0_MOUSE","A0A0J9YTY0","SEPTIN11"
"Septin2","SEPT2_MOUSE","Septin-2 OS=Mus musculus OX=10090 GN=Sept2 PE=1 SV=2",2,4,3,5,5,"SEPT2_MOUSE","SEPT2_MOUSE","P42208","SEPT2_MOUSE","Septin-2 OS=Mus musculus OX=10090 GN=Sept2 PE=1 SV=2",2,4,3,5,5,"SEPT2_MOUSE","SEPT2_MOUSE","P42208","SEPTIN2"
"Septin7","SEPT7_MOUSE","Septin-7 OS=Mus musculus OX=10090 GN=Sept7 PE=1 SV=1",3,6,2,5,5,"SEPT7_MOUSE","SEPT7_MOUSE","O55131","SEPT7_MOUSE","Septin-7 OS=Mus musculus OX=10090 GN=Sept7 PE=1 SV=1",3,6,2,5,5,"SEPT7_MOUSE","SEPT7_MOUSE","O55131","SEPTIN7"
"Septin9","A2A6U3_MOUSE","Septin-9 OS=Mus musculus OX=10090 GN=Sept9 PE=1 SV=1",7,4,0,5,7,"A2A6U3_MOUSE (+2)","A2A6U3_MOUSE","A2A6U3","A2A6U3_MOUSE","Septin-9 OS=Mus musculus OX=10090 GN=Sept9 PE=1 SV=1",7,4,0,5,7,"A2A6U3_MOUSE (+2)","A2A6U3_MOUSE","A2A6U3","SEPTIN9"
"Serbp1","Q3UMP4_MOUSE","Plasminogen activator inhibitor 1 RNA-binding protein OS=Mus musculus OX=10090 GN=Serbp1 PE=1 SV=1",5,2,0,4,5,"Q3UMP4_MOUSE (+1)","Q3UMP4_MOUSE","Q3UMP4","Q3UMP4_MOUSE","Plasminogen activator inhibitor 1 RNA-binding protein OS=Mus musculus OX=10090 GN=Serbp1 PE=1 SV=1",5,2,0,4,5,"Q3UMP4_MOUSE (+1)","Q3UMP4_MOUSE","Q3UMP4","SERBP1"
"Serpinb6a","F8WIV2_MOUSE","Serine (or cysteine) peptidase inhibitor, clade B, member 6a OS=Mus musculus OX=10090 GN=Serpinb6a PE=1 SV=1",17,13,12,18,17,"F8WIV2_MOUSE","F8WIV2_MOUSE","F8WIV2","F8WIV2_MOUSE","Serine (or cysteine) peptidase inhibitor, clade B, member 6a OS=Mus musculus OX=10090 GN=Serpinb6a PE=1 SV=1",17,13,12,18,17,"F8WIV2_MOUSE","F8WIV2_MOUSE","F8WIV2","SERPINB6"
"Serpinb6b","O08804_MOUSE","NK13 OS=Mus musculus OX=10090 GN=Serpinb6b PE=1 SV=2",11,10,7,12,12,"O08804_MOUSE","O08804_MOUSE","O08804","O08804_MOUSE","NK13 OS=Mus musculus OX=10090 GN=Serpinb6b PE=1 SV=2",11,10,7,12,12,"O08804_MOUSE","O08804_MOUSE","O08804","SERPINB6"
"Serpinb9","O08797_MOUSE","SPI6 OS=Mus musculus OX=10090 GN=Serpinb9 PE=1 SV=1",8,3,2,5,7,"O08797_MOUSE","O08797_MOUSE","O08797","O08797_MOUSE","SPI6 OS=Mus musculus OX=10090 GN=Serpinb9 PE=1 SV=1",8,3,2,5,7,"O08797_MOUSE","O08797_MOUSE","O08797","SERPINB9"
"Serpinb9b","Q9DAV6_MOUSE","R86 OS=Mus musculus OX=10090 GN=Serpinb9b PE=1 SV=1",17,14,14,18,19,"Q9DAV6_MOUSE","Q9DAV6_MOUSE","Q9DAV6","Q9DAV6_MOUSE","R86 OS=Mus musculus OX=10090 GN=Serpinb9b PE=1 SV=1",17,14,14,18,19,"Q9DAV6_MOUSE","Q9DAV6_MOUSE","Q9DAV6","SERPINB9"
"Serpinb9e","O08806_MOUSE","MCG118183 OS=Mus musculus OX=10090 GN=Serpinb9e PE=1 SV=2",8,9,8,7,8,"O08806_MOUSE","O08806_MOUSE","O08806","O08806_MOUSE","MCG118183 OS=Mus musculus OX=10090 GN=Serpinb9e PE=1 SV=2",8,9,8,7,8,"O08806_MOUSE","O08806_MOUSE","O08806","SERPINB9"
"Serpinb9g","Q8VHQ1_MOUSE","MCG118061 OS=Mus musculus OX=10090 GN=Serpinb9g PE=2 SV=1",17,12,10,15,14,"Q8VHQ1_MOUSE","Q8VHQ1_MOUSE","Q8VHQ1","Q8VHQ1_MOUSE","MCG118061 OS=Mus musculus OX=10090 GN=Serpinb9g PE=2 SV=1",17,12,10,15,14,"Q8VHQ1_MOUSE","Q8VHQ1_MOUSE","Q8VHQ1","SERPINB9"
"Serpinc1","ANT3_MOUSE","Antithrombin-III OS=Mus musculus OX=10090 GN=Serpinc1 PE=1 SV=1",5,4,5,4,3,"ANT3_MOUSE","ANT3_MOUSE","P32261","ANT3_MOUSE","Antithrombin-III OS=Mus musculus OX=10090 GN=Serpinc1 PE=1 SV=1",5,4,5,4,3,"ANT3_MOUSE","ANT3_MOUSE","P32261","SERPINC1"
"Serpine1","G5E899_MOUSE","Plasminogen activator inhibitor 1 OS=Mus musculus OX=10090 GN=Serpine1 PE=1 SV=1",23,23,23,23,23,"G5E899_MOUSE","G5E899_MOUSE","G5E899","G5E899_MOUSE","Plasminogen activator inhibitor 1 OS=Mus musculus OX=10090 GN=Serpine1 PE=1 SV=1",23,23,23,23,23,"G5E899_MOUSE","G5E899_MOUSE","G5E899","SERPINE1"
"Serpine2","GDN_MOUSE","Glia-derived nexin OS=Mus musculus OX=10090 GN=Serpine2 PE=1 SV=2",16,14,13,16,15,"GDN_MOUSE","GDN_MOUSE","Q07235","GDN_MOUSE","Glia-derived nexin OS=Mus musculus OX=10090 GN=Serpine2 PE=1 SV=2",16,14,13,16,15,"GDN_MOUSE","GDN_MOUSE","Q07235","SERPINE2"
"Serpinf1","PEDF_MOUSE","Pigment epithelium-derived factor OS=Mus musculus OX=10090 GN=Serpinf1 PE=1 SV=2",5,4,2,6,4,"PEDF_MOUSE","PEDF_MOUSE","P97298","PEDF_MOUSE","Pigment epithelium-derived factor OS=Mus musculus OX=10090 GN=Serpinf1 PE=1 SV=2",5,4,2,6,4,"PEDF_MOUSE","PEDF_MOUSE","P97298","SERPINF1"
"Serping1","IC1_MOUSE","Plasma protease C1 inhibitor OS=Mus musculus OX=10090 GN=Serping1 PE=1 SV=3",13,10,12,12,12,"IC1_MOUSE","IC1_MOUSE","P97290","IC1_MOUSE","Plasma protease C1 inhibitor OS=Mus musculus OX=10090 GN=Serping1 PE=1 SV=3",13,10,12,12,12,"IC1_MOUSE","IC1_MOUSE","P97290","SERPING1"
"Serpinh1","SERPH_MOUSE","Serpin H1 OS=Mus musculus OX=10090 GN=Serpinh1 PE=1 SV=3",19,18,17,20,19,"SERPH_MOUSE","SERPH_MOUSE","P19324","SERPH_MOUSE","Serpin H1 OS=Mus musculus OX=10090 GN=Serpinh1 PE=1 SV=3",19,18,17,20,19,"SERPH_MOUSE","SERPH_MOUSE","P19324","SERPINH1"
"Set","A2BE93_MOUSE","Protein SET (Fragment) OS=Mus musculus OX=10090 GN=Set PE=1 SV=1",4,5,0,4,4,"A2BE93_MOUSE (+2)","A2BE93_MOUSE","A2BE93","A2BE93_MOUSE","Protein SET (Fragment) OS=Mus musculus OX=10090 GN=Set PE=1 SV=1",4,5,0,4,4,"A2BE93_MOUSE (+2)","A2BE93_MOUSE","A2BE93","SET"
"Sf3b3","SF3B3_MOUSE","Splicing factor 3B subunit 3 OS=Mus musculus OX=10090 GN=Sf3b3 PE=1 SV=1",7,4,4,11,8,"sp|Q921M3|SF3B3_MOUSE","SF3B3_MOUSE","Q921M3","SF3B3_MOUSE","Splicing factor 3B subunit 3 OS=Mus musculus OX=10090 GN=Sf3b3 PE=1 SV=1",7,4,4,11,8,"sp|Q921M3|SF3B3_MOUSE","SF3B3_MOUSE","Q921M3","SF3B3"
"Sfn","1433S_MOUSE","14-3-3 protein sigma OS=Mus musculus OX=10090 GN=Sfn PE=1 SV=2",5,8,4,8,8,"1433S_MOUSE","1433S_MOUSE","O70456","1433S_MOUSE","14-3-3 protein sigma OS=Mus musculus OX=10090 GN=Sfn PE=1 SV=2",5,8,4,8,8,"1433S_MOUSE","1433S_MOUSE","O70456","SFN"
"Sfpq","SFPQ_MOUSE","Splicing factor, proline- and glutamine-rich OS=Mus musculus OX=10090 GN=Sfpq PE=1 SV=1",6,5,3,4,4,"SFPQ_MOUSE","SFPQ_MOUSE","Q8VIJ6","SFPQ_MOUSE","Splicing factor, proline- and glutamine-rich OS=Mus musculus OX=10090 GN=Sfpq PE=1 SV=1",6,5,3,4,4,"SFPQ_MOUSE","SFPQ_MOUSE","Q8VIJ6","SFPQ"
"Sh3bgrl","SH3L1_MOUSE","SH3 domain-binding glutamic acid-rich-like protein OS=Mus musculus OX=10090 GN=Sh3bgrl PE=1 SV=1",5,4,4,2,5,"SH3L1_MOUSE","SH3L1_MOUSE","Q9JJU8","SH3L1_MOUSE","SH3 domain-binding glutamic acid-rich-like protein OS=Mus musculus OX=10090 GN=Sh3bgrl PE=1 SV=1",5,4,4,2,5,"SH3L1_MOUSE","SH3L1_MOUSE","Q9JJU8","SH3BGRL"
"Sh3bgrl3","SH3L3_MOUSE","SH3 domain-binding glutamic acid-rich-like protein 3 OS=Mus musculus OX=10090 GN=Sh3bgrl3 PE=1 SV=1",3,3,3,3,4,"SH3L3_MOUSE","SH3L3_MOUSE","Q91VW3","SH3L3_MOUSE","SH3 domain-binding glutamic acid-rich-like protein 3 OS=Mus musculus OX=10090 GN=Sh3bgrl3 PE=1 SV=1",3,3,3,3,4,"SH3L3_MOUSE","SH3L3_MOUSE","Q91VW3","SH3BGRL3"
"Slc3a2","4F2_MOUSE","Isoform 2 of 4F2 cell-surface antigen heavy chain OS=Mus musculus OX=10090 GN=Slc3a2",6,5,0,7,7,"sp|P10852-2|4F2_MOUSE (+1)","4F2_MOUSE","P10852","4F2_MOUSE","Isoform 2 of 4F2 cell-surface antigen heavy chain OS=Mus musculus OX=10090 GN=Slc3a2",6,5,0,7,7,"sp|P10852-2|4F2_MOUSE (+1)","4F2_MOUSE","P10852","SLC3A2"
"Slc9a3r1","NHRF1_MOUSE","Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Mus musculus OX=10090 GN=Slc9a3r1 PE=1 SV=3",3,2,0,3,2,"NHRF1_MOUSE","NHRF1_MOUSE","P70441","NHRF1_MOUSE","Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Mus musculus OX=10090 GN=Slc9a3r1 PE=1 SV=3",3,2,0,3,2,"NHRF1_MOUSE","NHRF1_MOUSE","P70441","SLC9A3R1"
"Snd1","SND1_MOUSE","Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus OX=10090 GN=Snd1 PE=1 SV=1",14,9,3,10,11,"SND1_MOUSE","SND1_MOUSE","Q78PY7","SND1_MOUSE","Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus OX=10090 GN=Snd1 PE=1 SV=1",14,9,3,10,11,"SND1_MOUSE","SND1_MOUSE","Q78PY7","SND1"
"Snrpd1","SMD1_MOUSE","Small nuclear ribonucleoprotein Sm D1 OS=Mus musculus OX=10090 GN=Snrpd1 PE=1 SV=1",3,3,0,4,3,"SMD1_MOUSE","SMD1_MOUSE","P62315","SMD1_MOUSE","Small nuclear ribonucleoprotein Sm D1 OS=Mus musculus OX=10090 GN=Snrpd1 PE=1 SV=1",3,3,0,4,3,"SMD1_MOUSE","SMD1_MOUSE","P62315","SNRPD1"
"Snrpd2","SMD2_MOUSE","Small nuclear ribonucleoprotein Sm D2 OS=Mus musculus OX=10090 GN=Snrpd2 PE=1 SV=1",2,2,0,2,3,"SMD2_MOUSE","SMD2_MOUSE","P62317","SMD2_MOUSE","Small nuclear ribonucleoprotein Sm D2 OS=Mus musculus OX=10090 GN=Snrpd2 PE=1 SV=1",2,2,0,2,3,"SMD2_MOUSE","SMD2_MOUSE","P62317","SNRPD2"
"Snrpd3","SMD3_MOUSE","Small nuclear ribonucleoprotein Sm D3 OS=Mus musculus OX=10090 GN=Snrpd3 PE=1 SV=1",3,3,3,3,3,"SMD3_MOUSE","SMD3_MOUSE","P62320","SMD3_MOUSE","Small nuclear ribonucleoprotein Sm D3 OS=Mus musculus OX=10090 GN=Snrpd3 PE=1 SV=1",3,3,3,3,3,"SMD3_MOUSE","SMD3_MOUSE","P62320","SNRPD3"
"Snx2","SNX2_MOUSE","Sorting nexin-2 OS=Mus musculus OX=10090 GN=Snx2 PE=1 SV=2",5,4,2,6,5,"SNX2_MOUSE","SNX2_MOUSE","Q9CWK8","SNX2_MOUSE","Sorting nexin-2 OS=Mus musculus OX=10090 GN=Snx2 PE=1 SV=2",5,4,2,6,5,"SNX2_MOUSE","SNX2_MOUSE","Q9CWK8","SNX2"
"Snx3","Q78ZM0_MOUSE","Sorting nexin 3, isoform CRA_b OS=Mus musculus OX=10090 GN=Snx3 PE=1 SV=1",2,2,0,2,2,"Q78ZM0_MOUSE (+1)","Q78ZM0_MOUSE","Q78ZM0","Q78ZM0_MOUSE","Sorting nexin 3, isoform CRA_b OS=Mus musculus OX=10090 GN=Snx3 PE=1 SV=1",2,2,0,2,2,"Q78ZM0_MOUSE (+1)","Q78ZM0_MOUSE","Q78ZM0","SNX3"
"Snx5","SNX5_MOUSE","Sorting nexin-5 OS=Mus musculus OX=10090 GN=Snx5 PE=1 SV=1",4,3,0,4,2,"SNX5_MOUSE","SNX5_MOUSE","Q9D8U8","SNX5_MOUSE","Sorting nexin-5 OS=Mus musculus OX=10090 GN=Snx5 PE=1 SV=1",4,3,0,4,2,"SNX5_MOUSE","SNX5_MOUSE","Q9D8U8","SNX5"
"Sod1","SODC_MOUSE","Superoxide dismutase [Cu-Zn] OS=Mus musculus OX=10090 GN=Sod1 PE=1 SV=2",7,6,7,7,6,"SODC_MOUSE","SODC_MOUSE","P08228","SODC_MOUSE","Superoxide dismutase [Cu-Zn] OS=Mus musculus OX=10090 GN=Sod1 PE=1 SV=2",7,6,7,7,6,"SODC_MOUSE","SODC_MOUSE","P08228","SOD1"
"Sod2","SODM_MOUSE","Superoxide dismutase [Mn], mitochondrial OS=Mus musculus OX=10090 GN=Sod2 PE=1 SV=3",4,2,2,2,3,"SODM_MOUSE","SODM_MOUSE","P09671","SODM_MOUSE","Superoxide dismutase [Mn], mitochondrial OS=Mus musculus OX=10090 GN=Sod2 PE=1 SV=3",4,2,2,2,3,"SODM_MOUSE","SODM_MOUSE","P09671","SOD2"
"Sorbs2","B7ZWM6_MOUSE","Sorbin and SH3 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Sorbs2 PE=1 SV=1",6,3,0,7,4,"B7ZWM6_MOUSE (+3)","B7ZWM6_MOUSE","B7ZWM6","B7ZWM6_MOUSE","Sorbin and SH3 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Sorbs2 PE=1 SV=1",6,3,0,7,4,"B7ZWM6_MOUSE (+3)","B7ZWM6_MOUSE","B7ZWM6","SORBS2"
"Sparc","A0A1L1SSH9_MOUSE","SPARC OS=Mus musculus OX=10090 GN=Sparc PE=1 SV=1",15,12,12,16,14,"A0A1L1SSH9_MOUSE (+2)","A0A1L1SSH9_MOUSE","A0A1L1SSH9","A0A1L1SSH9_MOUSE","SPARC OS=Mus musculus OX=10090 GN=Sparc PE=1 SV=1",15,12,12,16,14,"A0A1L1SSH9_MOUSE (+2)","A0A1L1SSH9_MOUSE","A0A1L1SSH9","SPARC"
"Spon1","SPON1_MOUSE","Spondin-1 OS=Mus musculus OX=10090 GN=Spon1 PE=1 SV=1",8,3,3,7,7,"SPON1_MOUSE","SPON1_MOUSE","Q8VCC9","SPON1_MOUSE","Spondin-1 OS=Mus musculus OX=10090 GN=Spon1 PE=1 SV=1",8,3,3,7,7,"SPON1_MOUSE","SPON1_MOUSE","Q8VCC9","SPON1"
"Spr","G3UXX3_MOUSE","Sepiapterin reductase OS=Mus musculus OX=10090 GN=Spr PE=1 SV=1",2,2,0,2,2,"G3UXX3_MOUSE","G3UXX3_MOUSE","G3UXX3","G3UXX3_MOUSE","Sepiapterin reductase OS=Mus musculus OX=10090 GN=Spr PE=1 SV=1",2,2,0,2,2,"G3UXX3_MOUSE","G3UXX3_MOUSE","G3UXX3","SPR"
"Sptan1","SPTN1_MOUSE","Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptan1 PE=1 SV=4",77,59,47,76,77,"sp|P16546|SPTN1_MOUSE","SPTN1_MOUSE","P16546","SPTN1_MOUSE","Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptan1 PE=1 SV=4",77,59,47,76,77,"sp|P16546|SPTN1_MOUSE","SPTN1_MOUSE","P16546","SPTAN1"
"Sptbn1","SPTB2_MOUSE","Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptbn1 PE=1 SV=2",43,34,22,55,45,"sp|Q62261|SPTB2_MOUSE","SPTB2_MOUSE","Q62261","SPTB2_MOUSE","Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptbn1 PE=1 SV=2",43,34,22,55,45,"sp|Q62261|SPTB2_MOUSE","SPTB2_MOUSE","Q62261","SPTBN1"
"Srgn","SRGN_MOUSE","Serglycin OS=Mus musculus OX=10090 GN=Srgn PE=1 SV=1",3,2,2,3,2,"SRGN_MOUSE","SRGN_MOUSE","P13609","SRGN_MOUSE","Serglycin OS=Mus musculus OX=10090 GN=Srgn PE=1 SV=1",3,2,2,3,2,"SRGN_MOUSE","SRGN_MOUSE","P13609","SRGN"
