"Accession.New","MouseGeneName","Description","Accession.Number","Sample1","Sample2","Sample3","Sample4","Sample5","ProteinID"
"H3BJ97_MOUSE","Tinagl1","Tubulointerstitial nephritis antigen-like OS=Mus musculus OX=10090 GN=Tinagl1 PE=1 SV=1","H3BJ97_MOUSE (+1)",6,3,5,7,6,"H3BJ97"
"H4_MOUSE","Hist1h4a","Histone H4 OS=Mus musculus OX=10090 GN=Hist1h4a PE=1 SV=2","H4_MOUSE",8,7,7,7,9,"P62806"
"H7BWY6_MOUSE","Rbp4","Retinol-binding protein 4 OS=Mus musculus OX=10090 GN=Rbp4 PE=1 SV=1","H7BWY6_MOUSE (+1)",3,3,4,6,5,"H7BWY6"
"H7BX95_MOUSE","Srsf1","Serine/arginine-rich-splicing factor 1 OS=Mus musculus OX=10090 GN=Srsf1 PE=1 SV=1","H7BX95_MOUSE (+1)",2,0,2,3,4,"H7BX95"
"HA11_MOUSE","H2-D1","H-2 class I histocompatibility antigen, D-B alpha chain OS=Mus musculus OX=10090 GN=H2-D1 PE=1 SV=2","HA11_MOUSE",11,9,11,10,10,"P01899"
"HA1B_MOUSE","H2-K1","H-2 class I histocompatibility antigen, K-B alpha chain OS=Mus musculus OX=10090 GN=H2-K1 PE=1 SV=1","HA1B_MOUSE (+1)",7,7,4,8,8,"P01901"
"HARS1_MOUSE","Hars","Histidine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Hars PE=1 SV=2","SYHC_MOUSE",11,11,7,11,11,"Q61035"
"HBAZ_MOUSE","Hbz","Hemoglobin subunit zeta OS=Mus musculus OX=10090 GN=Hbz PE=2 SV=2","HBAZ_MOUSE",10,10,10,10,10,"P06467"
"HBB2_MOUSE","Hbb-b2","Hemoglobin subunit beta-2 OS=Mus musculus OX=10090 GN=Hbb-b2 PE=1 SV=2","HBB2_MOUSE",3,7,3,2,3,"P02089"
"HBBZ_MOUSE","Hbb-bh1","Hemoglobin subunit beta-H1 OS=Mus musculus OX=10090 GN=Hbb-bh1 PE=2 SV=3","HBBZ_MOUSE",10,11,10,10,11,"P04444"
"HBE_MOUSE","Hbb-y","Hemoglobin subunit epsilon-Y2 OS=Mus musculus OX=10090 GN=Hbb-y PE=1 SV=2","HBE_MOUSE",10,11,10,11,11,"P02104"
"HCDH_MOUSE","Hadh","Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Hadh PE=1 SV=2","HCDH_MOUSE",6,6,3,5,6,"Q61425"
"HDGF_MOUSE","Hdgf","Hepatoma-derived growth factor OS=Mus musculus OX=10090 GN=Hdgf PE=1 SV=2","HDGF_MOUSE",6,4,4,4,3,"P51859"
"HDHD2_MOUSE","Hdhd2","Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Mus musculus OX=10090 GN=Hdhd2 PE=1 SV=2","sp|Q3UGR5|HDHD2_MOUSE",3,0,2,3,5,"Q3UGR5"
"HEM2_MOUSE","Alad","Delta-aminolevulinic acid dehydratase OS=Mus musculus OX=10090 GN=Alad PE=1 SV=1","HEM2_MOUSE",12,10,7,10,12,"P10518"
"HEM3_MOUSE","Hmbs","Isoform 2 of Porphobilinogen deaminase OS=Mus musculus OX=10090 GN=Hmbs","sp|P22907-2|HEM3_MOUSE (+1)",2,4,5,5,0,"P22907"
"HEXA_MOUSE","Hexa","Beta-hexosaminidase subunit alpha OS=Mus musculus OX=10090 GN=Hexa PE=1 SV=2","HEXA_MOUSE",10,9,6,11,8,"P29416"
"HEXB_MOUSE","Hexb","Beta-hexosaminidase subunit beta OS=Mus musculus OX=10090 GN=Hexb PE=1 SV=2","HEXB_MOUSE",12,9,11,12,11,"P20060"
"HINT1_MOUSE","Hint1","Histidine triad nucleotide-binding protein 1 OS=Mus musculus OX=10090 GN=Hint1 PE=1 SV=3","HINT1_MOUSE",3,3,0,4,4,"P70349"
"HMOX1_MOUSE","Hmox1","Heme oxygenase 1 OS=Mus musculus OX=10090 GN=Hmox1 PE=1 SV=1","HMOX1_MOUSE",6,5,6,5,6,"P14901"
"HNRPC_MOUSE","Hnrnpc","Isoform 3 of Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Mus musculus OX=10090 GN=Hnrnpc","sp|Q9Z204-3|HNRPC_MOUSE (+1)",2,4,3,4,2,"Q9Z204"
"HNRPD_MOUSE","Hnrnpd","Isoform 3 of Heterogeneous nuclear ribonucleoprotein D0 OS=Mus musculus OX=10090 GN=Hnrnpd","sp|Q60668-3|HNRPD_MOUSE (+1)",6,5,5,8,7,"Q60668"
"HNRPF_MOUSE","Hnrnpf","Isoform 2 of Heterogeneous nuclear ribonucleoprotein F OS=Mus musculus OX=10090 GN=Hnrnpf","sp|Q9Z2X1-2|HNRPF_MOUSE (+1)",5,5,4,5,4,"Q9Z2X1"
"HPRT_MOUSE","Hprt1","Hypoxanthine-guanine phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Hprt1 PE=1 SV=3","HPRT_MOUSE",8,7,6,8,9,"P00493"
"HPT_MOUSE","Hp","Haptoglobin OS=Mus musculus OX=10090 GN=Hp PE=1 SV=1","HPT_MOUSE",4,4,4,4,4,"Q61646"
"HS105_MOUSE","Hsph1","Isoform HSP105-beta of Heat shock protein 105 kDa OS=Mus musculus OX=10090 GN=Hsph1","sp|Q61699-2|HS105_MOUSE (+1)",5,6,2,5,8,"Q61699"
"HS71A_MOUSE","Hspa1a","Heat shock 70 kDa protein 1A OS=Mus musculus OX=10090 GN=Hspa1a PE=1 SV=2","HS71A_MOUSE (+1)",6,2,0,2,3,"Q61696"
"HS90A_MOUSE","Hsp90aa1","Heat shock protein HSP 90-alpha OS=Mus musculus OX=10090 GN=Hsp90aa1 PE=1 SV=4","HS90A_MOUSE",17,17,14,13,18,"P07901"
"HS90B_MOUSE","Hsp90ab1","Heat shock protein HSP 90-beta OS=Mus musculus OX=10090 GN=Hsp90ab1 PE=1 SV=3","HS90B_MOUSE",34,36,24,36,38,"P11499"
"HSP13_MOUSE","Hspa13","Heat shock 70 kDa protein 13 OS=Mus musculus OX=10090 GN=Hspa13 PE=1 SV=1","sp|Q8BM72|HSP13_MOUSE",2,2,2,3,2,"Q8BM72"
"HSP7C_MOUSE","Hspa8","Heat shock cognate 71 kDa protein OS=Mus musculus OX=10090 GN=Hspa8 PE=1 SV=1","HSP7C_MOUSE",31,28,25,30,29,"P63017"
"HSPB1_MOUSE","Hspb1","Isoform B of Heat shock protein beta-1 OS=Mus musculus OX=10090 GN=Hspb1","sp|P14602-2|HSPB1_MOUSE (+1)",9,7,8,9,10,"P14602"
"HTRA1_MOUSE","Htra1","Serine protease HTRA1 OS=Mus musculus OX=10090 GN=Htra1 PE=1 SV=2","HTRA1_MOUSE",10,7,5,12,9,"Q9R118"
"HTRA3_MOUSE","Htra3","Isoform 3 of Serine protease HTRA3 OS=Mus musculus OX=10090 GN=Htra3","sp|Q9D236-1|HTRA3_MOUSE (+1)",4,2,0,6,5,"Q9D236"
"HXK1_MOUSE","Hk1","Isoform HK1-SC of Hexokinase-1 OS=Mus musculus OX=10090 GN=Hk1","sp|P17710-4|HXK1_MOUSE",13,15,9,14,10,"P17710"
"HXK2_MOUSE","Hk2","Hexokinase-2 OS=Mus musculus OX=10090 GN=Hk2 PE=1 SV=1","HXK2_MOUSE",3,2,0,5,3,"O08528"
"HYOU1_MOUSE","Hyou1","Hypoxia up-regulated protein 1 OS=Mus musculus OX=10090 GN=Hyou1 PE=1 SV=1","HYOU1_MOUSE",27,21,13,26,23,"Q9JKR6"
"IBP2_MOUSE","Igfbp2","Insulin-like growth factor-binding protein 2 OS=Mus musculus OX=10090 GN=Igfbp2 PE=2 SV=2","IBP2_MOUSE",8,3,0,7,4,"P47877"
"IBP4_MOUSE","Igfbp4","Insulin-like growth factor-binding protein 4 OS=Mus musculus OX=10090 GN=Igfbp4 PE=1 SV=2","IBP4_MOUSE",2,0,4,2,4,"P47879"
"IBP6_MOUSE","Igfbp6","Insulin-like growth factor-binding protein 6 OS=Mus musculus OX=10090 GN=Igfbp6 PE=2 SV=2","IBP6_MOUSE",4,2,3,3,4,"P47880"
"IC1_MOUSE","Serping1","Plasma protease C1 inhibitor OS=Mus musculus OX=10090 GN=Serping1 PE=1 SV=3","IC1_MOUSE",13,10,12,12,12,"P97290"
"IDHC_MOUSE","Idh1","Isocitrate dehydrogenase [NADP] cytoplasmic OS=Mus musculus OX=10090 GN=Idh1 PE=1 SV=2","IDHC_MOUSE",17,11,10,15,16,"O88844"
"IDI1_MOUSE","Idi1","Isopentenyl-diphosphate Delta-isomerase 1 OS=Mus musculus OX=10090 GN=Idi1 PE=1 SV=1","IDI1_MOUSE",3,2,3,2,3,"P58044"
"IF2A_MOUSE","Eif2s1","Eukaryotic translation initiation factor 2 subunit 1 OS=Mus musculus OX=10090 GN=Eif2s1 PE=1 SV=3","IF2A_MOUSE",8,7,4,13,10,"Q6ZWX6"
"IF2G_MOUSE","Eif2s3x","Eukaryotic translation initiation factor 2 subunit 3, X-linked OS=Mus musculus OX=10090 GN=Eif2s3x PE=1 SV=2","IF2G_MOUSE",7,8,3,11,3,"Q9Z0N1"
"IF4A1_MOUSE","Eif4a1","Eukaryotic initiation factor 4A-I OS=Mus musculus OX=10090 GN=Eif4a1 PE=1 SV=1","IF4A1_MOUSE",15,14,12,14,15,"P60843"
"IF4A2_MOUSE","Eif4a2","Isoform 2 of Eukaryotic initiation factor 4A-II OS=Mus musculus OX=10090 GN=Eif4a2","sp|P10630-2|IF4A2_MOUSE (+1)",3,3,3,3,5,"P10630"
"IF4B_MOUSE","Eif4b","Eukaryotic translation initiation factor 4B OS=Mus musculus OX=10090 GN=Eif4b PE=1 SV=1","IF4B_MOUSE",4,5,2,6,2,"Q8BGD9"
"IF6_MOUSE","Eif6","Eukaryotic translation initiation factor 6 OS=Mus musculus OX=10090 GN=Eif6 PE=1 SV=2","IF6_MOUSE",5,4,3,6,3,"O55135"
"IFI4_MOUSE","Ifi204","Interferon-activable protein 204 OS=Mus musculus OX=10090 GN=Ifi204 PE=1 SV=1","IFI4_MOUSE",3,2,0,4,3,"P0DOV2"
"IGF2_MOUSE","Igf2","Isoform 2 of Insulin-like growth factor II OS=Mus musculus OX=10090 GN=Igf2","sp|P09535-2|IGF2_MOUSE (+1)",2,3,2,3,3,"P09535"
"IL1R2_MOUSE","Il1r2","Interleukin-1 receptor type 2 OS=Mus musculus OX=10090 GN=Il1r2 PE=1 SV=1","IL1R2_MOUSE",6,5,2,5,3,"P27931"
"IMB1_MOUSE","Kpnb1","Importin subunit beta-1 OS=Mus musculus OX=10090 GN=Kpnb1 PE=1 SV=2","IMB1_MOUSE",12,14,6,13,13,"P70168"
"IMDH2_MOUSE","Impdh2","Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus OX=10090 GN=Impdh2 PE=1 SV=2","IMDH2_MOUSE",4,5,4,5,7,"P24547"
"IMPA2_MOUSE","Impa2","Inositol monophosphatase 2 OS=Mus musculus OX=10090 GN=Impa2 PE=1 SV=1","IMPA2_MOUSE",2,2,2,3,2,"Q91UZ5"
"INAR2_MOUSE","Ifnar2","Isoform 2 of Interferon alpha/beta receptor 2 OS=Mus musculus OX=10090 GN=Ifnar2","sp|O35664-2|INAR2_MOUSE (+2)",2,0,2,2,2,"O35664"
"INHBA_MOUSE","Inhba","Inhibin beta A chain OS=Mus musculus OX=10090 GN=Inhba PE=1 SV=1","INHBA_MOUSE",21,18,21,24,22,"Q04998"
"IPO5_MOUSE","Ipo5","Importin-5 OS=Mus musculus OX=10090 GN=Ipo5 PE=1 SV=3","sp|Q8BKC5|IPO5_MOUSE",7,7,2,10,10,"Q8BKC5"
"IPYR_MOUSE","Ppa1","Inorganic pyrophosphatase OS=Mus musculus OX=10090 GN=Ppa1 PE=1 SV=1","IPYR_MOUSE",5,4,5,6,6,"Q9D819"
"IQGA1_MOUSE","Iqgap1","Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus OX=10090 GN=Iqgap1 PE=1 SV=2","IQGA1_MOUSE",43,38,30,49,40,"Q9JKF1"
"ISG15_MOUSE","Isg15","Ubiquitin-like protein ISG15 OS=Mus musculus OX=10090 GN=Isg15 PE=1 SV=4","ISG15_MOUSE",5,3,2,5,4,"Q64339"
"ISOC1_MOUSE","Isoc1","Isochorismatase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Isoc1 PE=1 SV=1","ISOC1_MOUSE",2,2,6,5,6,"Q91V64"
"IST1_MOUSE","Ist1","IST1 homolog OS=Mus musculus OX=10090 GN=Ist1 PE=1 SV=1","IST1_MOUSE",3,3,0,4,2,"Q9CX00"
"ITB1_MOUSE","Itgb1","Isoform 2 of Integrin beta-1 OS=Mus musculus OX=10090 GN=Itgb1","sp|P09055-2|ITB1_MOUSE",2,2,2,0,3,"P09055"
"ITM2B_MOUSE","Itm2b","Integral membrane protein 2B OS=Mus musculus OX=10090 GN=Itm2b PE=1 SV=1","ITM2B_MOUSE",5,3,3,4,5,"O89051"
"ITPA_MOUSE","Itpa","Inosine triphosphate pyrophosphatase OS=Mus musculus OX=10090 GN=Itpa PE=1 SV=2","ITPA_MOUSE",5,4,0,5,4,"Q9D892"
"K1C18_MOUSE","Krt18","Keratin, type I cytoskeletal 18 OS=Mus musculus OX=10090 GN=Krt18 PE=1 SV=5","K1C18_MOUSE",29,27,18,29,27,"P05784"
"K1C19_MOUSE","Krt19","Keratin, type I cytoskeletal 19 OS=Mus musculus OX=10090 GN=Krt19 PE=1 SV=1","K1C19_MOUSE",21,18,14,18,20,"P19001"
"K2C7_MOUSE","Krt7","Keratin, type II cytoskeletal 7 OS=Mus musculus OX=10090 GN=Krt7 PE=1 SV=1","K2C7_MOUSE",19,10,6,16,15,"Q9DCV7"
"K2C8_MOUSE","Krt8","Keratin, type II cytoskeletal 8 OS=Mus musculus OX=10090 GN=Krt8 PE=1 SV=4","K2C8_MOUSE",28,28,23,29,28,"P11679"
"KAD2_MOUSE","Ak2","Isoform 2 of Adenylate kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Ak2","sp|Q9WTP6-2|KAD2_MOUSE (+1)",9,6,5,7,6,"Q9WTP6"
"KAPCA_MOUSE","Prkaca","Isoform 2 of cAMP-dependent protein kinase catalytic subunit alpha OS=Mus musculus OX=10090 GN=Prkaca","sp|P05132-2|KAPCA_MOUSE (+1)",3,2,0,4,4,"P05132"
"KCRB_MOUSE","Ckb","Creatine kinase B-type OS=Mus musculus OX=10090 GN=Ckb PE=1 SV=1","KCRB_MOUSE",15,11,11,15,14,"Q04447"
"KINH_MOUSE","Kif5b","Kinesin-1 heavy chain OS=Mus musculus OX=10090 GN=Kif5b PE=1 SV=3","KINH_MOUSE",7,2,0,6,4,"Q61768"
"KPYM_MOUSE","Pkm","Pyruvate kinase PKM OS=Mus musculus OX=10090 GN=Pkm PE=1 SV=4","sp|P52480|KPYM_MOUSE",28,30,27,30,27,"P52480"
"KPYM_MOUSE","Pkm","Isoform M1 of Pyruvate kinase PKM OS=Mus musculus OX=10090 GN=Pkm","sp|P52480-2|KPYM_MOUSE",2,3,2,3,2,"P52480"
"LAMA1_MOUSE","Lama1","Laminin subunit alpha-1 OS=Mus musculus OX=10090 GN=Lama1 PE=1 SV=1","F8VQ40_MOUSE",44,33,36,38,43,"P19137"
"LAMA5_MOUSE","Lama5","Laminin subunit alpha-5 OS=Mus musculus OX=10090 GN=Lama5 PE=1 SV=4","LAMA5_MOUSE",43,31,34,34,36,"Q61001"
"LAMB2_MOUSE","Lamb2","Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2","LAMB2_MOUSE",35,21,25,26,28,"Q61292"
"LAMP1_MOUSE","Lamp1","Lysosome-associated membrane glycoprotein 1 OS=Mus musculus OX=10090 GN=Lamp1 PE=1 SV=2","LAMP1_MOUSE",2,2,2,2,2,"P11438"
"LAMP2_MOUSE","Lamp2","Isoform LAMP-2B of Lysosome-associated membrane glycoprotein 2 OS=Mus musculus OX=10090 GN=Lamp2","sp|P17047-2|LAMP2_MOUSE (+2)",2,3,2,2,3,"P17047"
"LAP2A_MOUSE","Tmpo","Lamina-associated polypeptide 2, isoforms alpha/zeta OS=Mus musculus OX=10090 GN=Tmpo PE=1 SV=4","sp|Q61033|LAP2A_MOUSE",3,2,2,3,2,"Q61033"
"LASP1_MOUSE","Lasp1","LIM and SH3 domain protein 1 OS=Mus musculus OX=10090 GN=Lasp1 PE=1 SV=1","LASP1_MOUSE",11,9,8,6,6,"Q61792"
"LDHB_MOUSE","Ldhb","L-lactate dehydrogenase B chain OS=Mus musculus OX=10090 GN=Ldhb PE=1 SV=2","LDHB_MOUSE",11,10,6,11,9,"P16125"
"LEG1_MOUSE","Lgals1","Galectin-1 OS=Mus musculus OX=10090 GN=Lgals1 PE=1 SV=3","LEG1_MOUSE",7,7,8,7,9,"P16045"
"LEG3_MOUSE","Lgals3","Galectin-3 OS=Mus musculus OX=10090 GN=Lgals3 PE=1 SV=3","LEG3_MOUSE (+1)",9,8,7,9,8,"P16110"
"LG3BP_MOUSE","Lgals3bp","Galectin-3-binding protein OS=Mus musculus OX=10090 GN=Lgals3bp PE=1 SV=1","LG3BP_MOUSE",16,17,17,20,15,"Q07797"
"LGMN_MOUSE","Lgmn","Legumain OS=Mus musculus OX=10090 GN=Lgmn PE=1 SV=1","LGMN_MOUSE",10,8,10,10,11,"O89017"
"LGUL_MOUSE","Glo1","Lactoylglutathione lyase OS=Mus musculus OX=10090 GN=Glo1 PE=1 SV=3","LGUL_MOUSE",4,4,4,3,4,"Q9CPU0"
"LIFR_MOUSE","Lifr","Isoform 2 of Leukemia inhibitory factor receptor OS=Mus musculus OX=10090 GN=Lifr","sp|P42703-2|LIFR_MOUSE",11,7,3,10,6,"P42703"
"LIPL_MOUSE","Lpl","Lipoprotein lipase OS=Mus musculus OX=10090 GN=Lpl PE=1 SV=3","LIPL_MOUSE",7,7,8,6,7,"P11152"
"LIS1_MOUSE","Pafah1b1","Platelet-activating factor acetylhydrolase IB subunit alpha OS=Mus musculus OX=10090 GN=Pafah1b1 PE=1 SV=2","sp|P63005|LIS1_MOUSE",9,9,5,5,9,"P63005"
"LKHA4_MOUSE","Lta4h","Leukotriene A-4 hydrolase OS=Mus musculus OX=10090 GN=Lta4h PE=1 SV=4","LKHA4_MOUSE",22,16,16,17,22,"P24527"
"LMAN2_MOUSE","Lman2","Vesicular integral-membrane protein VIP36 OS=Mus musculus OX=10090 GN=Lman2 PE=1 SV=2","LMAN2_MOUSE",8,6,3,4,5,"Q9DBH5"
"LMCD1_MOUSE","Lmcd1","LIM and cysteine-rich domains protein 1 OS=Mus musculus OX=10090 GN=Lmcd1 PE=1 SV=1","LMCD1_MOUSE",7,7,5,6,7,"Q8VEE1"
"LMNA_MOUSE","Lmna","Prelamin-A/C OS=Mus musculus OX=10090 GN=Lmna PE=1 SV=2","sp|P48678|LMNA_MOUSE",27,28,22,31,30,"P48678"
"LMNB1_MOUSE","Lmnb1","Lamin-B1 OS=Mus musculus OX=10090 GN=Lmnb1 PE=1 SV=3","LMNB1_MOUSE",18,11,4,16,12,"P14733"
"LOXL2_MOUSE","Loxl2","Lysyl oxidase homolog 2 OS=Mus musculus OX=10090 GN=Loxl2 PE=1 SV=2","sp|P58022|LOXL2_MOUSE",10,6,7,14,11,"P58022"
"LRC59_MOUSE","Lrrc59","Leucine-rich repeat-containing protein 59 OS=Mus musculus OX=10090 GN=Lrrc59 PE=1 SV=1","LRC59_MOUSE",2,0,2,3,2,"Q922Q8"
"LSM8_MOUSE","Lsm8","U6 snRNA-associated Sm-like protein LSm8 OS=Mus musculus OX=10090 GN=Lsm8 PE=1 SV=3","LSM8_MOUSE",3,3,0,2,3,"Q6ZWM4"
"LUM_MOUSE","Lum","Lumican OS=Mus musculus OX=10090 GN=Lum PE=1 SV=2","LUM_MOUSE",7,7,7,10,10,"P51885"
"LYOX_MOUSE","Lox","Protein-lysine 6-oxidase OS=Mus musculus OX=10090 GN=Lox PE=1 SV=1","LYOX_MOUSE",4,2,4,6,5,"P28301"
"LYPA1_MOUSE","Lypla1","Isoform 2 of Acyl-protein thioesterase 1 OS=Mus musculus OX=10090 GN=Lypla1","sp|P97823-2|LYPA1_MOUSE",3,2,2,2,3,"P97823"
"LYZ2_MOUSE","Lyz2","Lysozyme C-2 OS=Mus musculus OX=10090 GN=Lyz2 PE=1 SV=2","LYZ2_MOUSE",2,3,4,3,3,"P08905"
"LZIC_MOUSE","Lzic","Protein LZIC OS=Mus musculus OX=10090 GN=Lzic PE=1 SV=1","LZIC_MOUSE",4,2,0,3,3,"Q8K3C3"
"MA2A1_MOUSE","Man2a1","Alpha-mannosidase 2 OS=Mus musculus OX=10090 GN=Man2a1 PE=1 SV=2","MA2A1_MOUSE",19,13,12,16,17,"P27046"
"MA2B1_MOUSE","Man2b1","Lysosomal alpha-mannosidase OS=Mus musculus OX=10090 GN=Man2b1 PE=1 SV=4","MA2B1_MOUSE",7,3,3,7,5,"O09159"
"MAOX_MOUSE","Me1","NADP-dependent malic enzyme OS=Mus musculus OX=10090 GN=Me1 PE=1 SV=2","MAOX_MOUSE",16,13,8,20,20,"P06801"
"MAP4_MOUSE","Map4","Isoform 2 of Microtubule-associated protein 4 OS=Mus musculus OX=10090 GN=Map4","sp|P27546-2|MAP4_MOUSE (+1)",19,16,5,12,12,"P27546"
"MARCS_MOUSE","Marcks","Myristoylated alanine-rich C-kinase substrate OS=Mus musculus OX=10090 GN=Marcks PE=1 SV=2","MARCS_MOUSE",6,3,3,4,4,"P26645"
"MARE1_MOUSE","Mapre1","Microtubule-associated protein RP/EB family member 1 OS=Mus musculus OX=10090 GN=Mapre1 PE=1 SV=3","MARE1_MOUSE",5,6,2,5,5,"Q61166"
"MASP1_MOUSE","Masp1","Isoform 2 of Mannan-binding lectin serine protease 1 OS=Mus musculus OX=10090 GN=Masp1","sp|P98064-2|MASP1_MOUSE",10,7,9,16,14,"P98064"
"MCA3_MOUSE","Eef1e1","Eukaryotic translation elongation factor 1 epsilon-1 OS=Mus musculus OX=10090 GN=Eef1e1 PE=1 SV=1","MCA3_MOUSE",3,4,0,2,2,"Q9D1M4"
"MDHC_MOUSE","Mdh1","Malate dehydrogenase, cytoplasmic OS=Mus musculus OX=10090 GN=Mdh1 PE=1 SV=3","MDHC_MOUSE",11,10,11,10,12,"P14152"
"MDHM_MOUSE","Mdh2","Malate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Mdh2 PE=1 SV=3","MDHM_MOUSE",15,15,15,15,15,"P08249"
"MESD_MOUSE","Mesd","LRP chaperone MESD OS=Mus musculus OX=10090 GN=Mesd PE=1 SV=1","MESD_MOUSE",2,2,2,4,4,"Q9ERE7"
"MFGM_MOUSE","Mfge8","Isoform 2 of Lactadherin OS=Mus musculus OX=10090 GN=Mfge8","sp|P21956-2|MFGM_MOUSE (+1)",4,2,2,2,5,"P21956"
"MIF_MOUSE","Mif","Macrophage migration inhibitory factor OS=Mus musculus OX=10090 GN=Mif PE=1 SV=2","MIF_MOUSE",2,2,2,2,3,"P34884"
"MK01_MOUSE","Mapk1","Mitogen-activated protein kinase 1 OS=Mus musculus OX=10090 GN=Mapk1 PE=1 SV=3","MK01_MOUSE",8,7,3,10,7,"P63085"
"MMP12_MOUSE","Mmp12","Macrophage metalloelastase OS=Mus musculus OX=10090 GN=Mmp12 PE=1 SV=3","MMP12_MOUSE (+1)",9,7,10,9,8,"P34960"
"MMP2_MOUSE","Mmp2","72 kDa type IV collagenase OS=Mus musculus OX=10090 GN=Mmp2 PE=1 SV=1","sp|P33434|MMP2_MOUSE",15,12,8,21,16,"P33434"
"MOES_MOUSE","Msn","Moesin OS=Mus musculus OX=10090 GN=Msn PE=1 SV=3","MOES_MOUSE",41,37,32,36,39,"P26041"
"MPRI_MOUSE","Igf2r","Cation-independent mannose-6-phosphate receptor OS=Mus musculus OX=10090 GN=Igf2r PE=1 SV=1","MPRI_MOUSE",10,3,3,7,3,"Q07113"
"MSLN_MOUSE","Msln","Mesothelin OS=Mus musculus OX=10090 GN=Msln PE=1 SV=1","MSLN_MOUSE",7,3,0,4,7,"Q61468"
"MTPN_MOUSE","Mtpn","Myotrophin OS=Mus musculus OX=10090 GN=Mtpn PE=1 SV=2","MTPN_MOUSE",3,4,2,5,5,"P62774"
"MYDGF_MOUSE","Mydgf","Myeloid-derived growth factor OS=Mus musculus OX=10090 GN=Mydgf PE=1 SV=1","MYDGF_MOUSE",4,5,4,5,5,"Q9CPT4"
"MYH9_MOUSE","Myh9","Myosin-9 OS=Mus musculus OX=10090 GN=Myh9 PE=1 SV=4","MYH9_MOUSE",61,48,43,72,64,"Q8VDD5"
"NACAM_MOUSE","Naca","Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Mus musculus OX=10090 GN=Naca PE=1 SV=2","NACAM_MOUSE",3,4,0,4,3,"P70670"
"NAMPT_MOUSE","Nampt","Nicotinamide phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Nampt PE=1 SV=1","NAMPT_MOUSE",21,17,14,18,18,"Q99KQ4"
"NECT2_MOUSE","Nectin2","Isoform Alpha of Nectin-2 OS=Mus musculus OX=10090 GN=Nectin2","sp|P32507-2|NECT2_MOUSE (+1)",5,2,0,2,2,"P32507"
"NEDD4_MOUSE","Nedd4","E3 ubiquitin-protein ligase NEDD4 OS=Mus musculus OX=10090 GN=Nedd4 PE=1 SV=3","NEDD4_MOUSE",2,2,2,2,0,"P46935"
"NHLC3_MOUSE","Nhlrc3","NHL repeat-containing protein 3 OS=Mus musculus OX=10090 GN=Nhlrc3 PE=1 SV=1","NHLC3_MOUSE",3,3,0,3,3,"Q8CCH2"
"NHRF1_MOUSE","Slc9a3r1","Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Mus musculus OX=10090 GN=Slc9a3r1 PE=1 SV=3","NHRF1_MOUSE",3,2,0,3,2,"P70441"
"NIBA2_MOUSE","Fam129b","Niban-like protein 1 OS=Mus musculus OX=10090 GN=Fam129b PE=1 SV=2","NIBL1_MOUSE",12,6,4,12,9,"Q8R1F1"
"NID1_MOUSE","Nid1","Nidogen-1 OS=Mus musculus OX=10090 GN=Nid1 PE=1 SV=2","NID1_MOUSE",34,33,28,36,35,"P10493"
"NID2_MOUSE","Nid2","Nidogen-2 OS=Mus musculus OX=10090 GN=Nid2 PE=1 SV=2","NID2_MOUSE",13,3,9,9,10,"O88322"
"NIT1_MOUSE","Nit1","Isoform 2 of Deaminated glutathione amidase OS=Mus musculus OX=10090 GN=Nit1","sp|Q8VDK1-2|NIT1_MOUSE (+1)",3,2,0,4,2,"Q8VDK1"
"NIT2_MOUSE","Nit2","Omega-amidase NIT2 OS=Mus musculus OX=10090 GN=Nit2 PE=1 SV=1","NIT2_MOUSE",8,6,5,6,6,"Q9JHW2"
"NLTP_MOUSE","Scp2","Non-specific lipid-transfer protein OS=Mus musculus OX=10090 GN=Scp2 PE=1 SV=3","sp|P32020|NLTP_MOUSE",3,4,2,3,3,"P32020"
"NP1L1_MOUSE","Nap1l1","Nucleosome assembly protein 1-like 1 OS=Mus musculus OX=10090 GN=Nap1l1 PE=1 SV=1","E9PW66_MOUSE (+3)",2,3,2,0,3,"P28656"
"NPC2_MOUSE","Npc2","NPC intracellular cholesterol transporter 2 OS=Mus musculus OX=10090 GN=Npc2 PE=1 SV=1","NPC2_MOUSE",5,5,4,5,5,"Q9Z0J0"
"NPM_MOUSE","Npm1","Nucleophosmin OS=Mus musculus OX=10090 GN=Npm1 PE=1 SV=1","NPM_MOUSE",3,5,3,3,4,"Q61937"
